HOLDDATE,LGCYINVESTORID,Delta
2012-12-31,2002019,1.3575472404292235e-05
2013-03-31,2002019,5.157272996095777e-06
2013-06-30,2002019,5.362078813791746e-05
2013-09-30,2002019,5.4024751936123486e-06
2013-12-31,2002019,2.086203934127668e-05
2014-03-31,2002019,1.6268412295205444e-05
2014-06-30,2002019,1.0793513342172549e-05
2014-09-30,2002019,5.8533221586084005e-06
2014-12-31,2002019,3.5315457461053606e-05
2015-03-31,2002019,1.0643141736719574e-05
2015-06-30,2002019,1.0094062283034446e-05
2015-09-30,2002019,4.187407914211109e-05
2015-12-31,2002019,0.0007468894743679103
2016-03-31,2002019,5.2259150295887595e-05
2016-06-30,2002019,1.4650691878745111e-05
2016-09-30,2002019,1.1602998422675112e-05
2016-12-31,2002019,7.664753757591384e-05
2017-03-31,2002019,0.00012884089727046902
2017-06-30,2002019,1.3513875943179531e-05
2017-09-30,2002019,0.00024149400271786294
2017-12-31,2002019,4.2231572916371255e-05
2018-03-31,2002019,0.00012194631440585049
2018-06-30,2002019,2.1672576172774315e-05
2018-09-30,2002019,5.443540148981516e-05
2018-12-31,2002019,5.438992930447051e-05
2019-03-31,2002019,2.768264782652473e-05
2019-06-30,2002019,5.287587821180863e-06
2019-09-30,2002019,1.3514203721868617e-05
2019-12-31,2002019,3.9532816781522334e-05
2020-03-31,2002019,9.06767295824768e-05
2020-06-30,2002019,0.00017898582294833396
2010-06-30,2002142,0.0001808875692414672
2010-09-30,2002142,5.908944267305432e-06
2010-12-31,2002142,1.0468799125889832e-05
2011-03-31,2002142,1.4757823423584866e-06
2011-06-30,2002142,3.4127195246597587e-06
2011-09-30,2002142,1.7653288632578198e-05
2011-12-31,2002142,7.156939036213416e-06
2012-03-31,2002142,1.1107636658351342e-05
2012-06-30,2002142,2.3074130720743514e-06
2012-09-30,2002142,2.7738262872906515e-06
2012-12-31,2002142,2.729582684570828e-06
2013-03-31,2002142,0.00011788407121598139
2013-06-30,2002142,3.905913181535979e-05
2013-09-30,2002142,3.4642352944566854e-05
2013-12-31,2002142,3.901861337202768e-05
2014-03-31,2002142,7.392314937078685e-05
2014-06-30,2002142,5.934301253272881e-06
2014-09-30,2002142,1.0212885513299053e-05
2014-12-31,2002142,1.332004872239138e-05
2015-03-31,2002142,1.1534611220432906e-05
2015-06-30,2002142,1.5353378895890435e-05
2015-09-30,2002142,1.2865525823734136e-05
2015-12-31,2002142,1.0835416450050797e-05
2016-03-31,2002142,1.4828137127594704e-05
2016-06-30,2002142,1.5779909997853616e-06
2016-09-30,2002142,1.1204441467409853e-05
2016-12-31,2002142,4.2206354592213795e-06
2017-03-31,2002142,1.2951639555895644e-05
2017-06-30,2002142,1.725832369918355e-05
